pin = 0, port = 5, bit = 1
pin = 1, port = 5, bit = 2
pin = 2, port = 5, bit = 16
pin = 3, port = 5, bit = 32
pin = 4, port = 7, bit = 32
pin = 5, port = 5, bit = 8
pin = 6, port = 8, bit = 8
pin = 7, port = 8, bit = 16
pin = 8, port = 8, bit = 32
pin = 9, port = 8, bit = 64
pin = 10, port = 2, bit = 16
pin = 11, port = 2, bit = 32
pin = 12, port = 2, bit = 64
pin = 13, port = 2, bit = 128
pin = 14, port = 10, bit = 2
pin = 15, port = 10, bit = 1
pin = 16, port = 8, bit = 2
pin = 17, port = 8, bit = 1
pin = 18, port = 4, bit = 8
pin = 19, port = 4, bit = 4
pin = 20, port = 4, bit = 2
pin = 21, port = 4, bit = 1
pin = 22, port = 1, bit = 1
pin = 23, port = 1, bit = 2
pin = 24, port = 1, bit = 4
pin = 25, port = 1, bit = 8
pin = 26, port = 1, bit = 16
pin = 27, port = 1, bit = 32
pin = 28, port = 1, bit = 64
pin = 29, port = 1, bit = 128
pin = 30, port = 3, bit = 128
pin = 31, port = 3, bit = 64
pin = 32, port = 3, bit = 32
pin = 33, port = 3, bit = 16
pin = 34, port = 3, bit = 8
pin = 35, port = 3, bit = 4
pin = 36, port = 3, bit = 2
pin = 37, port = 3, bit = 1
pin = 38, port = 4, bit = 128
pin = 39, port = 7, bit = 4
pin = 40, port = 7, bit = 2
pin = 41, port = 7, bit = 1
pin = 42, port = 12, bit = 128
pin = 43, port = 12, bit = 64
pin = 44, port = 12, bit = 32
pin = 45, port = 12, bit = 16
pin = 46, port = 12, bit = 8
pin = 47, port = 12, bit = 4
pin = 48, port = 12, bit = 2
pin = 49, port = 12, bit = 1
pin = 50, port = 2, bit = 8
pin = 51, port = 2, bit = 4
pin = 52, port = 2, bit = 2
pin = 53, port = 2, bit = 1
pin = 54, port = 6, bit = 1
pin = 55, port = 6, bit = 2
pin = 56, port = 6, bit = 4
pin = 57, port = 6, bit = 8
pin = 58, port = 6, bit = 16
pin = 59, port = 6, bit = 32
pin = 60, port = 6, bit = 64
pin = 61, port = 6, bit = 128
pin = 62, port = 11, bit = 1
pin = 63, port = 11, bit = 2
pin = 64, port = 11, bit = 4
pin = 65, port = 11, bit = 8
pin = 66, port = 11, bit = 16
pin = 67, port = 11, bit = 32
pin = 68, port = 11, bit = 64
pin = 69, port = 11, bit = 128
